,COMPOUND,YEAR,stateFIPS,COUNTY_CODE,LOW_ESTIMATE,HIGH_ESTIMATE,county,STATE,incidence_rate_per_100k,avg_annual_count,recent_trend,five_year_incidence_change_rate,incidence_rate_per_100k_low_95,incidence_rate_per_100k_high_95,five_year_incidence_change_rate_low_95,five_year_incidence_change_rate_high_95
121,Glyphosate,2015,1,121,12309.2,12411.3,Talladega County,AL,449.8 ,454,stable,-1.0 ,430.9,469.2,-5.8,4.1
122,Glyphosate,2014,1,123,590.1,592.9,Tallapoosa County,AL,475.6 ,271,stable,-0.1 ,449.5,503.0,-3.5,3.3
123,Glyphosate,2015,1,123,1177.3,1245.0,Tallapoosa County,AL,475.6 ,271,stable,-0.1 ,449.5,503.0,-3.5,3.3
124,Glyphosate,2014,1,125,3745.9,3746.3,Tuscaloosa County,AL,445.6 ,888,stable,-1.8 ,432.2,459.2,-3.8,0.1
125,Glyphosate,2015,1,125,4907.4,4979.9,Tuscaloosa County,AL,445.6 ,888,stable,-1.8 ,432.2,459.2,-3.8,0.1
126,Glyphosate,2014,1,127,904.4,904.7,Walker County,AL,515.8 ,447,stable,0.2 ,494.0,538.4,-2.8,3.2
127,Glyphosate,2015,1,127,1070.4,1133.6,Walker County,AL,515.8 ,447,stable,0.2 ,494.0,538.4,-2.8,3.2
128,Glyphosate,2014,1,129,6823.0,6933.9,Washington County,AL,412.8 ,89,stable,-5.6 ,374.2,454.4,-10.8,0.0
129,Glyphosate,2015,1,129,3611.8,3659.4,Washington County,AL,412.8 ,89,stable,-5.6 ,374.2,454.4,-10.8,0.0
130,Glyphosate,2014,1,131,11986.1,12201.5,Wilcox County,AL,488.0 ,68,stable,1.6 ,435.7,545.2,-4.9,8.6
131,Glyphosate,2015,1,131,3779.0,3867.6,Wilcox County,AL,488.0 ,68,stable,1.6 ,435.7,545.2,-4.9,8.6
132,Glyphosate,2014,1,133,313.7,357.7,Winston County,AL,428.2 ,146,stable,-1.0 ,396.5,462.1,-7.2,5.6
133,Glyphosate,2015,1,133,225.6,439.9,Winston County,AL,428.2 ,146,stable,-1.0 ,396.5,462.1,-7.2,5.6
134,Glyphosate,2014,4,1,2292.4,2294.7,Apache County,AZ,272.1 ,204,falling,-6.4 ,255.3,289.8,-9.5,-3.1
135,Glyphosate,2015,4,1,441.4,492.5,Apache County,AZ,272.1 ,204,falling,-6.4 ,255.3,289.8,-9.5,-3.1
136,Glyphosate,2014,4,3,29322.0,29378.1,Cochise County,AZ,375.0 ,655,stable,3.1 ,361.7,388.7,-3.1,9.8
137,Glyphosate,2015,4,3,35352.5,36228.9,Cochise County,AZ,375.0 ,655,stable,3.1 ,361.7,388.7,-3.1,9.8
138,Glyphosate,2014,4,5,831.2,832.4,Coconino County,AZ,360.0 ,459,stable,1.4 ,344.8,375.8,-3.8,6.9
139,Glyphosate,2015,4,5,162.6,177.0,Coconino County,AZ,360.0 ,459,stable,1.4 ,344.8,375.8,-3.8,6.9
140,Glyphosate,2014,4,7,365.2,365.8,Gila County,AZ,332.9 ,297,stable,-0.1 ,314.2,352.5,-7.2,7.5
141,Glyphosate,2015,4,7,48.1,62.0,Gila County,AZ,332.9 ,297,stable,-0.1 ,314.2,352.5,-7.2,7.5
142,Glyphosate,2014,4,9,24550.4,24606.2,Graham County,AZ,399.2 ,149,stable,1.9 ,370.8,429.3,-2.9,7.0
143,Glyphosate,2015,4,9,17648.3,17808.0,Graham County,AZ,399.2 ,149,stable,1.9 ,370.8,429.3,-2.9,7.0
144,Glyphosate,2014,4,11,1020.3,1024.3,Greenlee County,AZ,374.5 ,35,stable,14.1 ,319.8,435.8,-11.6,47.4
145,Glyphosate,2015,4,11,593.0,655.1,Greenlee County,AZ,374.5 ,35,stable,14.1 ,319.8,435.8,-11.6,47.4
146,Glyphosate,2014,4,12,19802.5,19819.5,La Paz County,AZ,303.6 ,125,stable,1.0 ,275.2,334.6,-7.1,9.7
147,Glyphosate,2015,4,12,8803.0,12527.0,La Paz County,AZ,303.6 ,125,stable,1.0 ,275.2,334.6,-7.1,9.7
148,Glyphosate,2014,4,13,49059.0,49518.5,Maricopa County,AZ,395.0 ,"17,319",stable,-1.1 ,392.4,397.7,-2.9,0.7
